step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
0,'C1698653726','2','M','28007','M348934600','28007','es_transportation',20.31,0
0,'C1952040134','3','F','28007','M348934600','28007','es_transportation',10.59,0
0,'C1769470125','2','F','28007','M348934600','28007','es_transportation',21.92,0
0,'C583110837','3','M','28007','M480139044','28007','es_health',44.26,1
0,'C1332295774','3','M','28007','M480139044','28007','es_health',324.5,1
0,'C603564532','1','M','28007','M1823072687','28007','es_transportation',26.07,0
0,'C2072009750','2','F','28007','M348934600','28007','es_transportation',10.88,0
0,'C545248492','4','M','28007','M348934600','28007','es_transportation',8.05,0
0,'C1055224400','3','F','28007','M348934600','28007','es_transportation',25.59,0
0,'C1619755203','5','F','28007','M348934600','28007','es_transportation',15.26,0
0,'C1697851479','3','M','28007','M348934600','28007','es_transportation',20.73,0
0,'C1255236689','1','F','28007','M348934600','28007','es_transportation',68.17,0
0,'C603081336','3','F','28007','M348934600','28007','es_transportation',34.75,0
0,'C274486575','2','F','28007','M692898500','28007','es_health',171.07,0
0,'C1569939854','6','F','28007','M348934600','28007','es_transportation',50.31,0
0,'C648063518','3','M','28007','M348934600','28007','es_transportation',17.87,0
0,'C1488142454','2','F','28007','M348934600','28007','es_transportation',5.96,0
0,'C384665757','3','F','28007','M1823072687','28007','es_transportation',13.08,0
0,'C131559770','6','F','28007','M348934600','28007','es_transportation',51.99,0
0,'C1547534233','2','F','28007','M348934600','28007','es_transportation',9.54,0
0,'C76969430','2','M','28007','M1823072687','28007','es_transportation',61.33,0
0,'C896887653','3','M','28007','M348934600','28007','es_transportation',47.72,0
0,'C281893917','3','M','28007','M348934600','28007','es_transportation',1.72,0
0,'C120661238','6','M','28007','M348934600','28007','es_transportation',8.14,0
0,'C1617276678','3','M','28007','M348934600','28007','es_transportation',43.76,0
0,'C1499019507','2','M','28007','M348934600','28007','es_transportation',52.36,0
0,'C83086349','6','M','28007','M1823072687','28007','es_transportation',14.2,0
0,'C2006367089','6','F','28007','M1823072687','28007','es_transportation',2.06,0
0,'C870367228','4','M','28007','M348934600','28007','es_transportation',45.32,0
0,'C966335674','3','M','28007','M348934600','28007','es_transportation',10.38,0
0,'C694265356','3','F','28007','M348934600','28007','es_transportation',2.46,0
0,'C400803731','2','F','28007','M348934600','28007','es_transportation',40.15,0
0,'C477595630','4','M','28007','M348934600','28007','es_transportation',4.96,0
0,'C1721541488','2','M','28007','M348934600','28007','es_transportation',43.55,0
0,'C949023995','3','M','28007','M348934600','28007','es_transportation',8.56,0
0,'C439601438','5','F','28007','M348934600','28007','es_transportation',28.06,0
0,'C1482560016','5','M','28007','M348934600','28007','es_transportation',7.89,0
0,'C13098029','5','F','28007','M348934600','28007','es_transportation',44.59,0
0,'C672742304','4','M','28007','M348934600','28007','es_transportation',10.84,0
0,'C916497516','3','F','28007','M348934600','28007','es_transportation',13.35,0
0,'C1403689550','2','F','28007','M348934600','28007','es_transportation',10.49,0
0,'C869565327','5','F','28007','M348934600','28007','es_transportation',6.19,0
0,'C1085056650','1','F','28007','M348875670','28007','es_hotelservices',114.54,0
0,'C1035681921','1','M','28007','M348934600','28007','es_transportation',23.97,0
0,'C1476505660','1','F','28007','M348934600','28007','es_transportation',7.75,0
0,'C948004275','2','M','28007','M151143676','28007','es_barsandrestaurants',36.41,0
0,'C650108285','4','F','28007','M1053599405','28007','es_health',11.83,0
0,'C2041218422','3','M','28007','M1823072687','28007','es_transportation',4.23,0
0,'C2081956948','2','M','28007','M348934600','28007','es_transportation',11.23,0
0,'C1305339250','4','M','28007','M348934600','28007','es_transportation',20.55,0
0,'C1459810780','2','F','28007','M348934600','28007','es_transportation',43.78,0
0,'C433481742','4','F','28007','M348934600','28007','es_transportation',10.96,0
0,'C288684762','3','M','28007','M348934600','28007','es_transportation',33.27,0
0,'C1817842389','5','M','28007','M692898500','28007','es_health',109.26,0
0,'C206074131','5','F','28007','M348934600','28007','es_transportation',38.38,0
0,'C1502804084','2','F','28007','M348934600','28007','es_transportation',1.01,0
0,'C2134043204','3','M','28007','M348934600','28007','es_transportation',31.73,0
0,'C662187574','2','M','28007','M348934600','28007','es_transportation',13.33,0
0,'C2039473569','2','M','28007','M348934600','28007','es_transportation',68.39,0
0,'C370861553','2','M','28007','M348934600','28007','es_transportation',2.46,0
0,'C1187730955','3','M','28007','M1823072687','28007','es_transportation',33.71,0
0,'C426128777','3','F','28007','M348934600','28007','es_transportation',39.96,0
0,'C779868884','1','M','28007','M348934600','28007','es_transportation',17.56,0
0,'C2092526272','6','F','28007','M840466850','28007','es_tech',163.56,0
0,'C1450354557','3','F','28007','M348934600','28007','es_transportation',23.24,0
0,'C1313060996','3','F','28007','M348934600','28007','es_transportation',26.46,0
0,'C1091966081','3','F','28007','M348934600','28007','es_transportation',13.56,0
0,'C564600361','2','M','28007','M348934600','28007','es_transportation',25.53,0
0,'C661876608','1','F','28007','M1741626453','28007','es_sportsandtoys',11.83,0
0,'C1871594117','1','M','28007','M348934600','28007','es_transportation',24.15,0
0,'C759167881','2','F','28007','M348934600','28007','es_transportation',2.63,0
0,'C359668643','2','M','28007','M348934600','28007','es_transportation',31.2,0
0,'C1536083561','2','F','28007','M348934600','28007','es_transportation',4.15,0
0,'C2043927860','2','M','28007','M348934600','28007','es_transportation',29.95,0
0,'C1159406873','3','F','28007','M348934600','28007','es_transportation',58.95,0
0,'C1463833315','1','M','28007','M1053599405','28007','es_health',7.94,0
0,'C1206604144','2','F','28007','M348934600','28007','es_transportation',37.8,0
0,'C673469784','3','F','28007','M348934600','28007','es_transportation',55.19,0
0,'C994739890','5','M','28007','M348934600','28007','es_transportation',32.95,0
0,'C409331076','4','M','28007','M1823072687','28007','es_transportation',50.9,0
0,'C1229072215','3','M','28007','M348934600','28007','es_transportation',15.69,0
0,'C1070277785','4','F','28007','M348934600','28007','es_transportation',14.36,0
0,'C1324001180','2','M','28007','M1823072687','28007','es_transportation',50.57,0
0,'C1424475955','3','M','28007','M348934600','28007','es_transportation',37.73,0
0,'C1423644375','2','M','28007','M348934600','28007','es_transportation',30.98,0
0,'C2042503226','2','F','28007','M348934600','28007','es_transportation',10.37,0
0,'C2038427935','3','F','28007','M348934600','28007','es_transportation',64.69,0
0,'C1549232957','3','M','28007','M1823072687','28007','es_transportation',44.5,0
0,'C1314685160','1','M','28007','M348934600','28007','es_transportation',5.5,0
0,'C276142295','3','M','28007','M348934600','28007','es_transportation',30.86,0
0,'C2035341190','2','M','28007','M348934600','28007','es_transportation',61.83,0
0,'C1846578588','3','M','28007','M348934600','28007','es_transportation',55.55,0
0,'C2029028090','4','M','28007','M348934600','28007','es_transportation',73.36,0
0,'C1568358546','2','F','28007','M348934600','28007','es_transportation',47.14,0
0,'C1818841328','2','M','28007','M348934600','28007','es_transportation',14.55,0
0,'C142251484','6','M','28007','M348934600','28007','es_transportation',44.22,0
0,'C413843100','3','F','28007','M348934600','28007','es_transportation',38.2,0
0,'C1368210201','2','F','28007','M348934600','28007','es_transportation',12.55,0
0,'C747590731','3','F','28007','M348934600','28007','es_transportation',0.1,0
0,'C1032715879','3','F','28007','M85975013','28007','es_food',36.55,0
0,'C441989517','3','F','28007','M348934600','28007','es_transportation',15.04,0
0,'C1506293914','5','M','28007','M1823072687','28007','es_transportation',54.45,0
0,'C1800696439','5','M','28007','M348934600','28007','es_transportation',66.57,0
0,'C1385780363','4','F','28007','M348934600','28007','es_transportation',56.93,0
0,'C947010068','4','F','28007','M348934600','28007','es_transportation',3.5,0
0,'C1939799337','4','F','28007','M348934600','28007','es_transportation',11.78,0
0,'C1842441894','3','M','28007','M1535107174','28007','es_wellnessandbeauty',52.38,0
0,'C207576555','3','F','28007','M348934600','28007','es_transportation',31.98,0
0,'C334817037','3','M','28007','M348934600','28007','es_transportation',27.98,0
0,'C1436756684','2','F','28007','M692898500','28007','es_health',187.62,0
0,'C1419246450','3','M','28007','M1823072687','28007','es_transportation',19.23,0
0,'C1025104996','5','M','28007','M1823072687','28007','es_transportation',47.82,0
0,'C1325638360','5','M','28007','M348934600','28007','es_transportation',28.6,0
0,'C655150548','1','F','28007','M348934600','28007','es_transportation',7.06,0
0,'C75274383','4','M','28007','M85975013','28007','es_food',49.59,0
