txn_id,txn_date,merchant,amount,currency,kind
T1068,2026-02-11,WeWork,-256.91,USD,charge
T1067,2026-02-09,OpenAI,-3651.3,USD,charge
T1209,2026-05-17,WeWork,-2829.52,USD,charge
T1186,2026-05-01,Lufthansa,-751.17,EUR,charge
T1115,2026-03-19,Lufthansa,-3652.32,EUR,charge
T1182,2026-04-29,Lufthansa,-2145.66,EUR,charge
T1077,2026-02-15,OpenAI,-2968.15,USD,charge
T1295,2026-06-26,Anthropic,1866.06,USD,refund
T1276,2026-06-28,WeWork,-3790.33,USD,charge
T1305,2026-03-03,Internal Transfer,25885.48,USD,transfer
T1183,2026-04-29,OpenAI,-142.5,USD,charge
T1311,2026-03-20,Internal Transfer,48811.61,USD,transfer
T1179,2026-04-27,AWS,-1945.2,USD,charge
T1220,2026-05-25,Deel,-2716.19,USD,charge
T1157,2026-04-15,AWS,-3705.93,USD,charge
T1280,2026-06-29,Deel,-3312.91,USD,charge
T1093,2026-02-27,Anthropic,-3844.24,USD,charge
T1075,2026-02-15,WeWork,-2039.0,USD,charge
T1048,2026-02-02,Anthropic,-1702.49,USD,charge
T1296,2026-01-15,AWS,664.09,USD,refund
T1018,2026-01-10,AWS,-844.73,USD,charge
T1028,2026-01-19,WeWork,-1934.86,USD,charge
T1061,2026-02-07,OpenAI,-1609.09,USD,charge
T1064,2026-02-08,Monzo,-1038.52,GBP,charge
T1017,2026-01-10,Anthropic,-611.79,USD,charge
T1104,2026-03-06,Figma,-3894.71,USD,charge
T1063,2026-02-08,AWS,-1128.7,USD,charge
T1241,2026-06-06,Deel,-1318.22,USD,charge
T1139,2026-04-04,OpenAI,-2790.59,USD,charge
T1118,2026-03-20,Lufthansa,-112.59,EUR,charge
T1228,2026-05-30,AWS,-1728.35,USD,charge
T1125,2026-03-27,OpenAI,-1044.41,USD,charge
T1073,2026-02-14,Deel,-3815.87,USD,charge
T1132,2026-03-31,Anthropic,-2883.23,USD,charge
T1245,2026-06-11,Deel,-2251.77,USD,charge
T1010,2026-01-07,Figma,-2119.4,USD,charge
T1046,2026-02-01,Figma,-2751.14,USD,charge
T1281,2026-01-07,Figma,2119.4,USD,refund
T1272,2026-06-26,Anthropic,-1866.06,USD,charge
T1176,2026-04-25,Deel,-3240.6,USD,charge
T1002,2026-01-02,Monzo,-48.05,GBP,charge
T1206,2026-05-16,Deel,-3305.01,USD,charge
T1218,2026-05-21,OpenAI,-1387.04,USD,charge
T1032,2026-01-24,Lufthansa,-584.7,EUR,charge
T1147,2026-04-07,Anthropic,-2805.12,USD,charge
T1100,2026-03-02,WeWork,-2453.09,USD,charge
T1058,2026-02-06,AWS,-2186.25,USD,charge
T1283,2026-05-28,Lufthansa,1554.95,EUR,refund
T1239,2026-06-05,Deel,-809.59,USD,charge
T1037,2026-01-27,WeWork,-1225.48,USD,charge
T1050,2026-02-02,Deel,-356.53,USD,charge
T1158,2026-04-17,WeWork,-1767.31,USD,charge
T1288,2026-04-18,Monzo,3780.61,GBP,refund
T1269,2026-06-25,WeWork,-3736.65,USD,charge
T1166,2026-04-21,WeWork,-3638.3,USD,charge
T1004,2026-01-03,Anthropic,-3258.2,USD,charge
T1055,2026-02-05,OpenAI,-510.77,USD,charge
T1106,2026-03-06,Lufthansa,-1635.0,EUR,charge
T1060,2026-02-07,WeWork,-2053.45,USD,charge
T1009,2026-01-06,Lufthansa,-1692.72,EUR,charge
T1233,2026-06-01,OpenAI,-1117.77,USD,charge
T1211,2026-05-17,Lufthansa,-3567.09,EUR,charge
T1191,2026-05-06,Figma,-3250.41,USD,charge
T1016,2026-01-10,AWS,-2854.7,USD,charge
T1045,2026-02-01,WeWork,-1214.08,USD,charge
T1208,2026-05-16,AWS,-1151.59,USD,charge
T1135,2026-04-02,Monzo,-2477.23,GBP,charge
T1126,2026-03-27,Figma,-2769.86,USD,charge
T1215,2026-05-20,Figma,-227.87,USD,charge
T1297,2026-03-31,Anthropic,2883.23,USD,refund
T1088,2026-02-24,Monzo,-3303.7,GBP,charge
T1200,2026-05-12,AWS,-224.66,USD,charge
T1090,2026-02-25,Lufthansa,-1109.98,EUR,charge
T1091,2026-02-27,Figma,-1708.4,USD,charge
T1131,2026-03-30,AWS,-2884.67,USD,charge
T1223,2026-05-26,Lufthansa,-291.46,EUR,charge
T1052,2026-02-03,Monzo,-1333.81,GBP,charge
T1234,2026-06-03,Anthropic,-2057.96,USD,charge
T1291,2026-03-31,Anthropic,3887.99,USD,refund
T1153,2026-04-13,Deel,-583.93,USD,charge
T1216,2026-05-21,AWS,-3430.66,USD,charge
T1044,2026-01-31,WeWork,-3124.01,USD,charge
T1227,2026-05-29,Anthropic,-2384.36,USD,charge
T1237,2026-06-04,AWS,-133.64,USD,charge
T1301,2026-06-24,Internal Transfer,19984.79,USD,transfer
T1122,2026-03-24,Anthropic,-927.55,USD,charge
T1230,2026-05-30,Lufthansa,-982.59,EUR,charge
T1051,2026-02-03,Lufthansa,-729.88,EUR,charge
T1212,2026-05-19,Deel,-1864.66,USD,charge
T1066,2026-02-09,Deel,-3192.73,USD,charge
T1074,2026-02-14,Monzo,-3187.34,GBP,charge
T1181,2026-04-27,Figma,-2761.88,USD,charge
T1101,2026-03-03,Anthropic,-3417.22,USD,charge
T1314,2026-05-22,Internal Transfer,31901.41,USD,transfer
T1169,2026-04-22,WeWork,-2595.76,USD,charge
T1041,2026-01-30,AWS,-1067.43,USD,charge
T1040,2026-01-29,Figma,-2814.88,USD,charge
T1141,2026-04-05,WeWork,-622.36,USD,charge
T1196,2026-05-09,Monzo,-2026.06,GBP,charge
T1138,2026-04-04,WeWork,-338.33,USD,charge
T1244,2026-06-10,WeWork,-2209.87,USD,charge
T1174,2026-04-24,Figma,-730.27,USD,charge
T1258,2026-06-18,Figma,-2022.7,USD,charge
T1081,2026-02-18,Monzo,-736.23,GBP,charge
T1162,2026-04-19,OpenAI,-2596.26,USD,charge
T1165,2026-04-21,Monzo,-107.5,GBP,charge
T1136,2026-04-03,WeWork,-733.11,USD,charge
T1189,2026-05-03,OpenAI,-3447.41,USD,charge
T1078,2026-02-17,Figma,-3459.18,USD,charge
T1029,2026-01-19,Lufthansa,-3230.26,EUR,charge
T1140,2026-04-04,AWS,-1839.74,USD,charge
T1129,2026-03-30,AWS,-2847.8,USD,charge
T1178,2026-04-26,Monzo,-3283.77,GBP,charge
T1000,2026-01-01,Lufthansa,-2825.68,EUR,charge
T1098,2026-03-02,Figma,-1925.7,USD,charge
T1210,2026-05-17,Lufthansa,-1161.13,EUR,charge
T1213,2026-05-19,Anthropic,-2831.35,USD,charge
T1282,2026-02-11,Anthropic,179.64,USD,refund
T1267,2026-06-25,WeWork,-1922.35,USD,charge
T1235,2026-06-03,Anthropic,-1252.16,USD,charge
T1095,2026-03-01,WeWork,-247.7,USD,charge
T1240,2026-06-06,Monzo,-459.63,GBP,charge
T1128,2026-03-29,Figma,-937.79,USD,charge
T1112,2026-03-17,Monzo,-291.07,GBP,charge
T1284,2026-01-08,Figma,2666.86,USD,refund
T1238,2026-06-05,Monzo,-2859.09,GBP,charge
T1003,2026-01-02,Monzo,-3560.19,GBP,charge
T1160,2026-04-18,Monzo,-3780.61,GBP,charge
T1252,2026-06-13,WeWork,-3197.63,USD,charge
T1057,2026-02-06,Lufthansa,-273.95,EUR,charge
T1310,2026-02-28,Internal Transfer,27991.03,USD,transfer
T1204,2026-05-14,Monzo,-919.14,GBP,charge
T1323,2026-02-18,Internal Transfer,34953.78,USD,transfer
T1251,2026-06-13,AWS,-3006.7,USD,charge
T1008,2026-01-05,Deel,-697.44,USD,charge
T1277,2026-06-28,Monzo,-269.96,GBP,charge
T1146,2026-04-07,AWS,-2477.93,USD,charge
T1001,2026-01-02,Lufthansa,-1121.12,EUR,charge
T1274,2026-06-27,AWS,-3565.89,USD,charge
T1042,2026-01-30,Deel,-2327.81,USD,charge
T1253,2026-06-13,OpenAI,-432.0,USD,charge
T1171,2026-04-23,WeWork,-3481.82,USD,charge
T1320,2026-03-12,Internal Transfer,22168.89,USD,transfer
T1263,2026-06-23,OpenAI,-107.19,USD,charge
T1163,2026-04-19,Deel,-2356.62,USD,charge
T1260,2026-06-20,Figma,-1219.46,USD,charge
T1120,2026-03-24,Figma,-1811.94,USD,charge
T1156,2026-04-15,Anthropic,-358.92,USD,charge
T1172,2026-04-23,Monzo,-3134.36,GBP,charge
T1279,2026-06-29,Anthropic,-3030.17,USD,charge
T1107,2026-03-08,Monzo,-1112.1,GBP,charge
T1144,2026-04-06,WeWork,-711.4,USD,charge
T1030,2026-01-22,AWS,-1685.21,USD,charge
T1034,2026-01-24,WeWork,-2208.3,USD,charge
T1173,2026-04-24,AWS,-298.8,USD,charge
T1289,2026-04-04,WeWork,338.33,USD,refund
T1255,2026-06-14,Anthropic,-1839.06,USD,charge
T1111,2026-03-17,OpenAI,-2656.57,USD,charge
T1265,2026-06-24,Deel,-1810.09,USD,charge
T1038,2026-01-27,WeWork,-679.52,USD,charge
T1110,2026-03-16,AWS,-1664.63,USD,charge
T1304,2026-05-29,Internal Transfer,39834.6,USD,transfer
T1264,2026-06-24,AWS,-1126.55,USD,charge
T1056,2026-02-06,WeWork,-1789.02,USD,charge
T1053,2026-02-03,Figma,-2022.01,USD,charge
T1155,2026-04-15,AWS,-1860.5,USD,charge
T1012,2026-01-08,Figma,-2666.86,USD,charge
T1097,2026-03-01,Figma,-543.38,USD,charge
T1194,2026-05-08,Deel,-702.64,USD,charge
T1197,2026-05-10,Anthropic,-1199.07,USD,charge
T1187,2026-05-02,Figma,-3580.39,USD,charge
T1124,2026-03-26,Lufthansa,-1940.17,EUR,charge
T1250,2026-06-12,OpenAI,-2377.1,USD,charge
T1262,2026-06-23,Deel,-147.58,USD,charge
T1292,2026-05-09,Monzo,2026.06,GBP,refund
T1143,2026-04-05,Figma,-1435.17,USD,charge
T1207,2026-05-16,Anthropic,-3071.12,USD,charge
T1080,2026-02-17,WeWork,-689.24,USD,charge
T1114,2026-03-18,OpenAI,-3703.9,USD,charge
T1113,2026-03-17,Anthropic,-1522.9,USD,charge
T1164,2026-04-21,OpenAI,-2050.29,USD,charge
T1219,2026-05-25,Lufthansa,-2670.31,EUR,charge
T1302,2026-03-13,Internal Transfer,18058.33,USD,transfer
T1130,2026-03-30,Deel,-2525.35,USD,charge
T1062,2026-02-08,WeWork,-2879.02,USD,charge
T1059,2026-02-07,Figma,-3341.31,USD,charge
T1261,2026-06-21,AWS,-3192.64,USD,charge
T1299,2026-03-31,Internal Transfer,5642.12,USD,transfer
T1123,2026-03-26,Lufthansa,-1897.35,EUR,charge
T1105,2026-03-06,Monzo,-2596.42,GBP,charge
T1307,2026-02-19,Internal Transfer,44503.74,USD,transfer
T1309,2026-05-02,Internal Transfer,47007.99,USD,transfer
T1084,2026-02-20,Lufthansa,-1946.21,EUR,charge
T1099,2026-03-02,Anthropic,-181.59,USD,charge
T1167,2026-04-22,AWS,-3824.96,USD,charge
T1217,2026-05-21,Lufthansa,-1536.24,EUR,charge
T1256,2026-06-16,Lufthansa,-3268.58,EUR,charge
T1023,2026-01-16,AWS,-2522.48,USD,charge
T1315,2026-02-21,Internal Transfer,28889.96,USD,transfer
T1006,2026-01-04,Figma,-1161.64,USD,charge
T1096,2026-03-01,Monzo,-1132.4,GBP,charge
T1152,2026-04-12,WeWork,-2941.45,USD,charge
T1246,2026-06-11,OpenAI,-1583.02,USD,charge
T1268,2026-06-25,OpenAI,-94.56,USD,charge
T1303,2026-03-19,Internal Transfer,43883.6,USD,transfer
T1203,2026-05-13,Monzo,-3101.13,GBP,charge
T1322,2026-05-10,Internal Transfer,49550.38,USD,transfer
T1259,2026-06-19,Figma,-1354.64,USD,charge
