shipment_id,carrier_id,origin_country,dest_country,shipped_date,weight_kg,freight_cost_eur,is_expedited
60,C03,DE,PL,2026-01-04,1116.6,7464.32,false
61,C02,NL,DE,2026-01-05,4131.6,3570.95,false
62,C05,DE,PL,2026-01-06,158.9,6175.9,false
63,C04,ES,FR,2026-01-07,4614.8,4163.5,false
64,C02,DE,PL,2026-01-08,3428.6,6222.63,true
65,C01,ES,DE,2026-01-09,835.9,8729.51,false
66,C01,NL,DE,2026-01-10,4110.3,6565.55,false
67,C04,PT,ES,2026-01-11,3291.8,8830.54,false
68,C01,FR,IT,2026-01-12,2464.3,6285.97,true
69,C04,FR,IT,2026-01-13,1788.9,457.49,false
70,C04,FR,IT,2026-01-14,3251.2,565.52,true
71,C03,PT,ES,2026-01-15,3950.6,4929.81,false
72,C04,ES,DE,2026-01-16,960.8,5769.35,false
73,C04,PT,ES,2026-01-17,3291.3,3494.22,false
74,C01,ES,FR,2026-01-18,285.9,2213.92,false
75,C01,DE,PL,2026-01-19,3166.6,5043.21,false
76,C04,ES,DE,2026-01-20,2180.2,8076.06,false
77,C03,ES,DE,2026-01-21,1359.2,2772.42,false
78,C05,FR,IT,2026-01-22,1272.4,4126.18,false
79,C04,PT,ES,2026-01-23,2074.2,6058.67,true
80,C02,NL,DE,2026-01-24,4073.9,2448.85,false
81,C02,ES,DE,2026-02-25,4205.7,5475.51,false
82,C01,ES,DE,2026-02-26,4548.9,5799.23,false
83,C01,ES,DE,2026-02-27,4242.1,6944.2,false
84,C01,PT,ES,2026-02-28,3430.5,2007.94,false
85,C01,ES,DE,2026-02-01,1197.4,5223.38,false
86,C03,FR,IT,2026-02-02,2910.1,8049.48,false
87,C04,FR,IT,2026-02-03,2521.1,4235.11,false
88,C03,FR,IT,2026-02-04,1383.2,4268.95,false
89,C01,FR,IT,2026-02-05,3528.6,8492.38,true
90,C05,DE,PL,2026-02-06,4007.8,1579.86,true
91,C04,FR,IT,2026-02-07,1065.9,9004.23,false
92,C05,FR,IT,2026-02-08,4106.5,5914.15,false
93,C03,DE,PL,2026-02-09,4179.2,8422.37,false
94,C04,DE,PL,2026-02-10,4315.1,5115.95,false
95,C04,NL,DE,2026-02-11,404.2,3433.82,false
96,C02,ES,DE,2026-02-12,2295.5,4124.8,true
97,C01,PT,ES,2026-02-13,1507.3,6006.75,false
98,C05,DE,PL,2026-02-14,3816.6,1904.99,false
99,C02,ES,DE,2026-02-15,719.5,5490.51,true
100,C01,FR,IT,2026-02-16,3795.3,4220.92,false
101,C05,DE,PL,2026-02-17,1365.7,2267.52,true
102,C04,ES,FR,2026-02-18,47.0,1553.51,true
103,C05,FR,IT,2026-02-19,1449.2,210.47,false
104,C05,ES,DE,2026-02-20,671.9,6683.7,false
105,C05,NL,DE,2026-02-21,3975.8,2095.85,true
106,C05,NL,DE,2026-02-22,2780.8,8297.26,false
107,C04,DE,PL,2026-02-23,801.0,8197.22,true
108,C03,PT,ES,2026-02-24,1388.9,7277.57,false
109,C05,FR,IT,2026-02-25,649.4,3654.32,false
110,C02,FR,IT,2026-02-26,2192.3,5657.01,false
111,C01,ES,FR,2026-02-27,4687.9,1104.6,false
112,C04,FR,IT,2026-02-28,147.9,4891.14,false
113,C03,NL,DE,2026-02-01,2742.4,7422.59,false
114,C01,ES,FR,2026-02-02,3819.8,7515.66,false
115,C05,NL,DE,2026-02-03,3675.7,5727.43,false
116,C03,NL,DE,2026-02-04,4109.1,7978.31,false
117,C03,FR,IT,2026-02-05,1706.7,2950.51,true
118,C01,NL,DE,2026-02-06,3853.5,6168.76,false
119,C02,FR,IT,2026-02-07,3323.2,9076.98,false
120,C04,ES,DE,2026-02-08,4255.2,4969.83,false
121,C05,PT,ES,2026-02-09,1946.9,206.66,false
122,C03,PT,ES,2026-02-10,2721.8,2805.15,true
123,C03,ES,FR,2026-02-11,3134.6,3078.75,true
124,C03,ES,DE,2026-02-12,2705.8,6911.4,false
125,C02,ES,FR,2026-02-13,3313.7,2227.18,false
126,C04,ES,FR,2026-02-14,1347.7,3145.72,true
127,C02,ES,FR,2026-02-15,2668.8,569.42,false
128,C04,NL,DE,2026-02-16,3620.6,6396.77,false
129,C04,DE,PL,2026-02-17,2494.2,5578.8,false
130,C04,DE,PL,2026-02-18,3190.5,1298.59,true
131,C01,DE,PL,2026-02-19,4615.3,1063.2,false
132,C03,FR,IT,2026-02-20,671.0,8272.64,true
133,C02,ES,FR,2026-02-21,3542.6,1686.72,false
134,C05,NL,DE,2026-02-22,3782.8,6830.96,false
135,C02,FR,IT,2026-02-23,1364.0,7147.69,false
136,C05,FR,IT,2026-02-24,1594.7,6065.15,false
137,C03,ES,FR,2026-02-25,3492.1,7484.59,true
138,C05,ES,DE,2026-02-26,2135.4,3646.56,false
139,C01,PT,ES,2026-02-27,1542.1,233.26,false
140,C01,NL,DE,2026-02-28,2872.6,550.29,true
141,C04,NL,DE,2026-02-01,3550.8,2814.16,false
142,C02,FR,IT,2026-02-02,509.7,6754.7,true
143,C02,NL,DE,2026-02-03,138.4,1797.52,false
144,C03,ES,FR,2026-02-04,4382.0,2101.53,false
145,C01,DE,PL,2026-02-05,420.3,510.8,true
146,C03,NL,DE,2026-02-06,1115.1,8209.16,false
147,C05,ES,DE,2026-02-07,1486.7,3187.26,false
148,C03,FR,IT,2026-02-08,4324.2,309.81,false
149,C03,FR,IT,2026-02-09,4633.8,3170.46,false
150,C02,ES,FR,2026-02-10,1342.9,8331.15,true
151,C03,FR,IT,2026-02-11,2247.8,1315.15,false
152,C03,ES,FR,2026-02-12,2688.5,6260.07,false
153,C05,FR,IT,2026-02-13,186.7,553.56,true
154,C01,ES,DE,2026-02-14,4119.9,3697.99,false
155,C05,PT,ES,2026-02-15,3565.3,1412.47,false
156,C01,ES,DE,2026-02-16,505.8,2482.59,false
157,C02,DE,PL,2026-02-17,3172.1,4131.44,false
158,C02,FR,IT,2026-02-18,2829.7,1219.29,false
159,C03,FR,IT,2026-02-19,112.4,3472.35,false
160,C03,NL,DE,2026-02-20,1579.3,3033.72,false
